Shop Interior		Lighting decoration 	3340
Shop Interior		Atha	50
Shop Interior		Rong babod	739
Shop Interior		Logo	510
Shop Interior		Light tangano chen	360
Shop Interior		Bord+kaj babodh	15560
Misc		Stamp kina/likha	500
Misc		Fast current er kaj babodh	500
Shop Interior		Wall stand	2350
Shop Rent		Dukan Jamanot	16000
Shop Interior		Rong er kaj er mujuri	700
Shop Interior		Lighting er kaj er mujuri	700
Shop Interior		Hanger	2100
Shop Interior		Mirror	2000
Misc		Visiting card 	800
Misc		Sopping bag	1510
Shop Interior		Chair	1600
Misc		Soto khato khoros vara etc etc	681
Product Purchase	Other	Shirt +pant	42210
Misc		BKash lenden	16199
Transport		Courier 	1850
Product Purchase	Denim	Pant - 565×41	23165
Product Purchase	Shirt	Shirt - 330× 56	18480
Product Purchase	Other	Boxer - 200×11	2200
Transport	Other	Transport 	2000
Shop Rent	Other	shop advance	4080
Misc	Other	Mobile Stand + Pant Hanger	805
Transport	Other	Van vara 	120
Transport	Denim	Product Delivery from dhaka to kushtia	450
Product Purchase	Denim	New Pant naua hoise 16ta	5300
Transport	Other	courier + van vara	300
Shop Rent	Other	Dokan Vara	5000
Misc		Wifi Bill	500
Hanger	Other	Daraz e payment korsi. 24 pcs hanger	463
Labeler Machine	Other	Cartup e order disi labeler machine	555
Product Purchase	Denim	total cost including transport in dhaka new market	26790
Shop Rent	Other	Dukan vara	5000
Product Purchase	Shirt	shirt buying cost + courier + others	29700
Misc	Other	wifi bill(525) + fan purchase(3715) + shop lock(1480) + conveyance bill(3000) + scecurity and cleaning(300)	9020
Shop Rent	Other	dokan vara	5000
Misc	Other	wifi bill	525
Misc	Other	security + jharudar	200
Misc	Other	bkash cost 	260
Misc	Denim	courier charge + van vara	340
Misc	Other	conveyance bill	1500
Product Purchase	Denim	denim + twill + boxxer + tshirt	17500
Transport	Other	transport cost 	1260
